,year,age_group,myopia_rate_urban,myopia_rate_rural,myopia_rate
81,2018,2,0.5107188918107223,0.4368173805419077,0.47994902511141735
82,2018,3,0.7180883160016613,0.6407814257489319,0.6859005749504432
83,2018,4,0.814660094074296,0.7452589813412933,0.7960305745436107
84,2019,1,0.3080832812267507,0.22132197665863584,0.27471735713113987
85,2019,2,0.6020649800455611,0.5152039843995755,0.5658992614897658
86,2019,3,0.6115582878196474,0.5204095691645814,0.5736073193661464
87,2019,4,0.8090328521973146,0.7689812158426315,0.7982816882415433
88,2020,1,0.24626778312035844,0.20744090070976598,0.2313360711338937
89,2020,2,0.5459800785627108,0.48488373803164625,0.520541813205484
90,2020,3,0.7203065124143901,0.6550511042391266,0.6931365645136238
91,2020,4,0.8196295823330091,0.7634328072114782,0.804544537173636
92,2021,1,0.27502565249478933,0.2031676717647891,0.24739112184041523
