"year_all","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper"
2031,0.133462466454657,0.267068826134859,0.402241486557865,0.424037016507176,0.564142349293389,0.704363579201874,0.586125185030959,0.687652264517813,0.789094140921921,0.760686863947423,0.813131574498478,0.865369418302604
2032,0.131678919247749,0.267323644664781,0.403870648049401,0.423156270804071,0.564844776091568,0.706416938865859,0.584510408571505,0.687250100347097,0.789982938162136,0.760202835300186,0.813372118176143,0.866323397352315
2033,0.130105939210239,0.267142422585934,0.405183975184508,0.422011097039314,0.565033572277055,0.70785125699301,0.582095027435835,0.686387272050767,0.790193016765232,0.759623830519729,0.813465697766477,0.867161375131943
2034,0.128852807208601,0.267515411861945,0.407550846620029,0.420869192195774,0.565907372023783,0.711027959563378,0.581160357028553,0.686343696122689,0.79108320326689,0.759251375332199,0.813705192281703,0.868097458526163
2035,0.126384627355759,0.267551174099069,0.409362594691749,0.419041117374756,0.56621509249285,0.713511303133722,0.578925406269768,0.685542712672956,0.792133555533303,0.758345934023196,0.813740992308387,0.869108366879997
2036,0.124107127633183,0.267266630755652,0.411350699570476,0.416248832933736,0.566143811715565,0.715716048957388,0.576736180424158,0.68511171016734,0.793451123986356,0.757504198751039,0.813717721118055,0.869867177549617
2037,0.122620926052788,0.267851078060112,0.413598906115641,0.415277409016598,0.566700317223912,0.717360862275149,0.574550170209074,0.684429235157994,0.7941060085029,0.756889066687234,0.813814283234648,0.87064002128695
2038,0.120792449831185,0.267810251690409,0.415876361345234,0.413394789714659,0.566863223821578,0.720313952394804,0.572900632290054,0.684409267470766,0.795669493906034,0.756181080726333,0.813964284789829,0.871668189827818
2039,0.119077056813068,0.267948735757897,0.417997181171452,0.411933340109291,0.56712319474325,0.722726053819584,0.571050806729684,0.684047173769479,0.797013314951056,0.75547122533449,0.814084161774383,0.872588574559829
2040,0.116823840939811,0.26782115955529,0.419902081924507,0.409356806427575,0.56723719251775,0.724603666967595,0.569202189540802,0.683717762195459,0.798169088669785,0.754530892091786,0.814117991899401,0.873509349567967
2041,0.115254371687811,0.268348905779612,0.422265065105473,0.408034887823251,0.568206177940499,0.727556111090817,0.566801770429141,0.683406975875022,0.799428541129986,0.753864140240273,0.814224366903619,0.874304982792018
2042,0.113437187380518,0.268704242542457,0.42453850376181,0.406350292327448,0.568463617892224,0.729958174067102,0.565335718843505,0.683131350667118,0.800478066475434,0.753116177663697,0.814207368992809,0.875324971549794
2043,0.111377672410173,0.268489272980842,0.426565463882653,0.404158561564255,0.568319153444315,0.732002108528594,0.563673972929844,0.682932629149186,0.802220101443025,0.752458163810268,0.814378106846756,0.876194519965886
2044,0.109973363666835,0.26912715660657,0.429044633109388,0.402945535726676,0.569250570206527,0.7349301609895,0.562068680590289,0.683051261533109,0.804376514442594,0.751839857972489,0.814567969133179,0.877172010372634
2045,0.107574769154078,0.269201359758269,0.431558615828522,0.400758138844516,0.569489723810249,0.737778663129086,0.559821933106559,0.682703378862357,0.805488722961049,0.750818388452797,0.814478001040515,0.878115280864144
2046,0.106198658235958,0.269226564175867,0.43416026281687,0.399495912242844,0.569850826169567,0.740066136224003,0.558715018688355,0.682773922135487,0.807176937114432,0.750144571201802,0.814639163732833,0.87900221602059
2047,0.104758392519904,0.269786514899912,0.436104755384423,0.398640832995184,0.570748932227448,0.743098587404427,0.556738467495755,0.682717383034814,0.80863665424992,0.749465712539706,0.8147756077444,0.879927382459611
2048,0.102548038554264,0.270086358465674,0.437936656667691,0.396833637226783,0.570915891217584,0.745906464571904,0.555524114980761,0.682747695303137,0.810333049905227,0.748799684643979,0.814811582696344,0.881000985281348
2049,0.100339265445562,0.270635976170381,0.440786677274304,0.394712708002138,0.571661293301354,0.748053007532063,0.55331021211704,0.683153558570155,0.812136855252539,0.747952736140929,0.815034763550349,0.881929844170005
2050,0.100276588919906,0.27099380772612,0.443740769407572,0.394053704073827,0.57237032358709,0.751006678341357,0.552506051018634,0.683169861107828,0.813831029637445,0.747382847434559,0.815192376329845,0.882830447703724
