"year_all","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper","f_lower","f_mean","f_upper"
2017,0.0610392241271851,0.186545786269219,0.312052348411253,0.35242847385177,0.463282822342702,0.574137170833633,0.486632805697235,0.585919073595059,0.685205341492883,0.608566933594947,0.726436904346005,0.844306875097063
2018,0.0682229078041505,0.193729469946185,0.319236032088219,0.347379204546032,0.458233553036963,0.569087901527895,0.503486857066077,0.602773124963901,0.702059392861726,0.62932687112148,0.747196841872538,0.865066812623595
2019,0.06244138817093,0.187947950312964,0.313454512454998,0.375249692428298,0.48610404091923,0.596958389410162,0.493228259990081,0.592514527887905,0.691800795785729,0.642341301125646,0.760211271876704,0.878081242627762
2020,0.0730775478646637,0.198584110006698,0.324090672148732,0.353936428778146,0.464790777269077,0.575645125760009,0.512134667026917,0.611420934924742,0.710707202822566,0.628958398039625,0.746828368790683,0.86469833954174
2021,0.074460012133872,0.199966574275906,0.32547313641794,0.370299036360195,0.481153384851127,0.592007733342059,0.511660782103407,0.610947050001231,0.710233317899055,0.631675489641117,0.749545460392175,0.867415431143232
2022,0.0758573723235889,0.201363934465623,0.326870496607657,0.376052765568607,0.486907114059538,0.59776146255047,0.512531818608247,0.611818086506071,0.711104354403895,0.626599571366276,0.744469542117333,0.862339512868391
2023,0.0329889103500596,0.202479313704492,0.378887487466358,0.324302914977137,0.497708824371553,0.670733659252595,0.466095464900972,0.616260967310834,0.764898183719649,0.580806042360159,0.740974055603596,0.89802240607513
2024,0.0290785911215788,0.203221290493941,0.38461659516688,0.31838146309502,0.494396193247743,0.671279645433041,0.462356822004417,0.616031055035059,0.767125942191154,0.566060009141799,0.730964167130406,0.892365009036157
2025,0.0271963499841296,0.204619719846259,0.388936886529492,0.311178700518626,0.490310841963971,0.670318613928749,0.460742071699798,0.616722133210713,0.771105989404917,0.556187947129655,0.724562409669186,0.889870886868303
2026,0.0258135169044705,0.20552425358358,0.391570987759522,0.307002294219356,0.487203495284276,0.66925973398916,0.45976874675787,0.617222334465208,0.772441319015631,0.552008055191154,0.723251516592277,0.89239092089419
2027,0.0242359267441661,0.206128666236256,0.392814287519481,0.305124349912206,0.48624513885908,0.668445225321563,0.460141571111555,0.617468441460404,0.772902222710375,0.55332837752592,0.726213562943511,0.895709324438441
2028,0.0214697681368569,0.206018945545207,0.395175585349486,0.303436294184903,0.486475782964951,0.669249383934486,0.458328596038463,0.616935877765844,0.773698746778266,0.557113036909523,0.730694368786734,0.901860433486266
2029,0.0191567694503173,0.205667984958781,0.396915878830369,0.303765076457363,0.487794510673173,0.670984416027226,0.457475280870958,0.616426743907425,0.77389798969827,0.560789833819381,0.735923860301287,0.908665136940283
2030,0.0154187696523806,0.205175917211091,0.398456835732172,0.303906817817188,0.489245241899047,0.674660674744821,0.455483505325185,0.616035006208852,0.774527377791538,0.562692917590927,0.739883900270555,0.91508578985885
2031,0.0111928170819072,0.205044620512275,0.401958612336774,0.300049099850442,0.490645733845837,0.679198763062602,0.451964003675904,0.615588102591912,0.77806262968057,0.560627549217421,0.741940073422308,0.920788979097159
2032,0.0075748087974945,0.204282619559213,0.40380876105454,0.298864805501164,0.490834037377376,0.682622512911254,0.448396919927304,0.614810369702161,0.779982121419578,0.558008320423792,0.742155998680334,0.923915697197828
2033,0.00426537413344147,0.203916697119911,0.406978777890913,0.296948808368612,0.491330831082575,0.685744311693188,0.446630984636861,0.614126490415837,0.781788001949298,0.554668642349853,0.741602032380493,0.926766896226996
2034,0.00082944488861611,0.203633121458052,0.410469338937273,0.293926907289477,0.491108702405492,0.688162492553493,0.442808606073567,0.614021069684274,0.785189832301682,0.549351613588722,0.740441789122074,0.928780326057078
2035,-0.00488249532287768,0.203480280535867,0.414312257967735,0.289054144618893,0.490867295552727,0.692320475446935,0.43887497304599,0.613663148843129,0.78778115319617,0.544699137569718,0.73931162768966,0.932453934698703
2036,-0.00714141936906348,0.203501809848011,0.417857202259356,0.28637364777818,0.49094275124688,0.694945600072299,0.434699129919291,0.613433127275698,0.790641962686679,0.540915340160217,0.738964843029161,0.935159512119591
2037,-0.0119026915314182,0.203360622801833,0.421491728131975,0.28201963000866,0.490653672827204,0.698661359801723,0.432347155293944,0.613261079008634,0.793436856312688,0.536774222013632,0.738658713640312,0.939230414621522
