province,year,age_group,myopia_rate_urban,myopia_rate_rural
Fujian,2000,1,0.261278916123825,0.2387781795091306
Fujian,2001,1,0.1826648808822688,0.1196788127242736
Fujian,2002,1,0.1644,0.0578
Fujian,2003,1,0.1679111645788065,0.1263571692525427
Fujian,2004,1,0.1633143487236677,0.0565
Fujian,2005,1,0.167678510512867,0.1302579401170424
Fujian,2006,1,0.0209,0.0345
Fujian,2007,1,0.2040278152593374,0.1590343201673575
Fujian,2008,1,0.2937,0.1704367043615303
Fujian,2009,1,0.2200391514517823,0.1733010346210801
Fujian,2010,1,0.414678104901909,0.3623377007249542
Fujian,2011,1,0.2488,0.1466336528465366
Fujian,2012,1,0.1534879426575258,0.095179604968119
Fujian,2013,1,0.2657392092959304,0.2263723950811658
Fujian,2014,1,0.3688977804131426,0.3046215092112838
Fujian,2015,1,0.2379480532416251,0.1893540397394536
Fujian,2016,1,0.3423576181687594,0.2721134134544485
Fujian,2017,1,0.2579532634808002,0.1824170757973464
Fujian,2018,1,0.1930174559243761,0.1168053176976132
Fujian,2019,1,0.3559973748021845,0.2768012698191955
Fujian,2020,1,0.1311999999999999,0.1272
Fujian,2021,1,0.2442883321652476,0.1715919549739712
Fujian,2022,1,0.2585739570231085,0.1874525217879845
Fujian,1998,2,0.2904473880057455,0.1426
Fujian,1999,2,0.3008899533596045,0.2055698722718592
Fujian,2000,2,0.3672223880057455,0.309061747538883
Fujian,2001,2,0.2991507321874629,0.2027435135324501
Fujian,2002,2,0.4079,0.1473
Fujian,2003,2,0.3206326651565153,0.2361748483500795
Fujian,2004,2,0.3265193348906036,0.1619
Fujian,2005,2,0.423234353724903,0.3653130686919354
Fujian,2006,2,0.1148,0.0802
Fujian,2007,2,0.3973961020088367,0.3204358680412421
Fujian,2008,2,0.4871999999999999,0.3482777046143816
Fujian,2009,2,0.4452622442665381,0.3453714257333224
Fujian,2010,2,0.6151463194440605,0.557464389844988
Fujian,2011,2,0.6286,0.423694654075598
Fujian,2012,2,0.4098111057317234,0.3522249183062084
Fujian,2013,2,0.5317451238332057,0.4779921055263689
Fujian,2014,2,0.5589758920193865,0.5014854467674296
Fujian,2015,2,0.4996459685351552,0.4533087922458435
Fujian,2016,2,0.6331406783070493,0.5757459752286505
Fujian,2017,2,0.524854385155439,0.4582870040011726
Fujian,2018,2,0.5242554645947124,0.4669565036898715
Fujian,2019,2,0.6685878577385438,0.611336767920482
Fujian,2020,2,0.4418999999999999,0.3383
Fujian,2021,2,0.5299228146628224,0.4661640022067574
Fujian,2022,2,0.5577820026504962,0.4895284937169911
Fujian,1998,3,0.6127877511199717,0.3603
Fujian,1999,3,0.6104262549637843,0.4746861098502914
Fujian,2000,3,0.6075377511199719,0.5269304534805282
Fujian,2001,3,0.6073343180644937,0.4744763950315855
Fujian,2002,3,0.6598999999999999,0.3313
Fujian,2003,3,0.61705267017559,0.4932048166836622
Fujian,2004,3,0.6154516207063212,0.4950065828115119
Fujian,2005,3,0.6646485780976802,0.5844086624053342
Fujian,2006,3,0.4402,0.1509
Fujian,2007,3,0.6465775260900227,0.6973
Fujian,2008,3,0.58795,0.5715580007305872
Fujian,2009,3,0.6484632787308288,0.5593812431916814
Fujian,2010,3,0.7613594050753889,0.6814868713301404
Fujian,2011,3,0.7145815704709305,0.634782513115102
Fujian,2012,3,0.5724037358664723,0.4926781549000636
Fujian,2013,3,0.6926348188825779,0.6354334141931294
Fujian,2014,3,0.6882480666575557,0.6086694384699859
Fujian,2015,3,0.685676292098704,0.6350588021160707
Fujian,2016,3,0.8216923974486391,0.7422607220399081
Fujian,2017,3,0.6963526707926857,0.6192790039929887
Fujian,2018,3,0.6267367282397225,0.5474520056098306
Fujian,2019,3,0.6493588936352641,0.5701476473947917
Fujian,2020,3,0.6809999999999999,0.6598999999999999
Fujian,2021,3,0.6946140186655568,0.6253902397601947
Fujian,2022,3,0.6842261552852394,0.6149689778024485
Fujian,1998,4,0.7670839701557652,0.6134080939383779
Fujian,1999,4,0.7648732022624062,0.6110124103948108
Fujian,2000,4,0.7986608017556357,0.644055429317788
Fujian,2001,4,0.7673818398162985,0.6155216257841334
Fujian,2002,4,0.770428496942686,0.6230322313352539
Fujian,2003,4,0.7645360588273411,0.6057567354987248
Fujian,2004,4,0.7606483457041082,0.5999035704102788
Fujian,2005,4,0.7883400117588777,0.6569720448325369
Fujian,2006,4,0.6265999999999999,0.2148
Fujian,2007,4,0.7729295546456288,0.6186613201440818
Fujian,2008,4,0.7145999999999999,0.6298878127233097
Fujian,2009,4,0.7818901052452241,0.6226891582876353
Fujian,2010,4,0.8689192217621197,0.7607886603472854
Fujian,2011,4,0.8932350637627682,0.7897519834502356
Fujian,2012,4,0.8030755298662682,0.6951708164943454
Fujian,2013,4,0.810869460366528,0.7190096130549106
Fujian,2014,4,0.7748825897647134,0.685341952759085
Fujian,2015,4,0.8069317615664728,0.7337311906531689
Fujian,2016,4,0.8729142737660103,0.7926685989649845
Fujian,2017,4,0.8154297722857649,0.7569653939956278
Fujian,2018,4,0.714545957767307,0.643595245170884
Fujian,2019,4,0.8279420822030575,0.8262585682738339
Fujian,2020,4,0.7961,0.7715000000000001
Fujian,2021,4,0.8351278054880835,0.7898808048666344
Fujian,2022,4,0.8395373471118154,0.7986317179818231
Gansu,1998,1,0.1793,0.0758
Gansu,1999,1,0.2181,0.0746
Gansu,2000,1,0.2023789161238249,0.1798781795091306
Gansu,2001,1,0.1784734373905138,0.1066089657691161
Gansu,2002,1,0.1644,0.0578
Gansu,2003,1,0.2234350029131911,0.1572225495457726
Gansu,2004,1,0.2278787000507785,0.0565
Gansu,2005,1,0.364978510512867,0.3275579401170425
Gansu,2006,1,0.1007,0.0345
Gansu,2007,1,0.275727756248985,0.2222893586545553
Gansu,2008,1,0.1098,0.241262564336888
Gansu,2009,1,0.2516514561982007,0.1996099806594672
Gansu,2010,1,0.406878104901909,0.3545377007249543
Gansu,2011,1,0.2420580237797174,0.1867336528465366
