,year,age_group,myopia_rate_urban,myopia_rate_rural,myopia_rate
81,2018,2,0.5392595316243163,0.3885003550034599,0.4764889645726213
82,2018,3,0.6805485712470807,0.6364024483848022,0.662167752067045
83,2018,4,0.8114208209592358,0.6759327378035148,0.7750514056584302
84,2019,1,0.3425997714524248,0.21883532563815747,0.29500349422572436
85,2019,2,0.641548006665323,0.4748815684126068,0.5721542419068466
86,2019,3,0.5797944391736057,0.5159805234664115,0.5532246756307642
87,2019,4,0.8028523565853652,0.7084863240046465,0.777521439287842
88,2020,1,0.2716603870349114,0.20515933482822427,0.2460859783598484
89,2020,2,0.5822436560077046,0.4488447031004908,0.526701246545316
90,2020,3,0.7032537277403118,0.6514544312108678,0.68168640899454
91,2020,4,0.8307417384629362,0.7119935463028286,0.7988658552391174
92,2021,1,0.3037161009803952,0.20062087506439016,0.2640686164288842
